Conjunction data for RBSPa and FU3 from Shumko file FU3_RBSPA_conjunctions_dL10_dMLT10_hr_final.txt
Tstart = start of conjunction
Tend = end of conjunction
Tmin = time of closest conjunction (defined from minimum absolute separation)
Lrb = L value (rbspa) during min separation time
Lfb = L value (FU3) during min separation time
MLTrb = MLT value (rbspa) during min separation time
MLTfb = MLT value (FU3) during min separation time
distmin = minimum |separation| in RE b/t rbspa and FU3 at Tminsep
dLmin = |delta L| of rbspa) during min separation time
dMLTmin = |delta MLT| of rbspa) during min separation time
col = max collimated detector FB flux during conjunction
sur = max surface detector FB flux during conjunction
EMFb = number of sec of EMFISIS burst data within +/-60 min of middle conjunction time
B1b = number of sec of EFW burst 1 data within +/-60 min of middle conjunction time
B2b = number of sec of EFW burst 2 data within +/-60 min of middle conjunction time
The remaining columns are max EFW filter bank amplitudes (pT, mV/m) within +/-60 min of middle conjunction time
 
Tstart              Tend                Tmin				    Lrb       Lfb      MLTrb    MLTfb   distmin	 dLmin	dMLTmin    col	    sur    EMFb   B1b   B2b  7E4  7E5  7E6  7B4  7B5  7B6 13E7 13E8 13E9 13E10 13E11 13E12 13B7 13B8 13B9 13B10 13B11 13B12
2018-08-08/07:53:33 2018-08-08/07:54:31 2018-08-08/07:53:54     5.12     5.05    23.72    23.26   0.61894    0.069    0.462     1.78    24.75   421   942     0    0    0    0    0    0    0    0    0    0    0    0    1   22   29   25   33   15    9
2018-08-09/03:53:42 2018-08-09/03:54:31 2018-08-09/03:54:20     5.78     5.74     1.24     1.31   0.11827    0.036    0.075     0.19    27.96   360   304    11    0    0    0    0    0    0    1    0    0    0    0    0    1    1    4   13    8    4
2018-08-09/10:13:28 2018-08-09/10:14:36 2018-08-09/10:14:01     4.79     4.79    23.18    23.42   0.30539    0.006    0.244     0.68    29.58   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   17   13   18   20   16    8
2018-08-10/05:14:08 2018-08-10/05:15:07 2018-08-10/05:14:51     5.51     5.38     0.15     0.57   0.61239    0.131    0.420     0.26    27.27   433     0     0    0    0    0    0    0    0    0    0    0    0    0    0   12   13   14   31   14    7
2018-08-10/21:34:04 2018-08-10/21:36:17 2018-08-10/21:34:48     4.25     3.69    22.58    21.95   0.86219    0.559    0.635     0.94    27.93   576   429     0    0    0    0    0    0    0    0    0    0    0    0    2   10   19    9    5   11   21
2018-08-11/01:46:23 2018-08-11/01:47:17 2018-08-11/01:46:31     5.35     6.36     1.98     2.42   1.20241   -1.004    0.433     0.19    27.58   863  3024     0    0    0    0    0    0    0    0    0    0    0    0    0    2    2    3    4    6    4
2018-08-11/07:06:56 2018-08-11/07:08:09 2018-08-11/07:07:29     4.79     4.78    23.27    23.14   0.15486    0.016    0.123     1.33    26.53   338    93   198    0    0    0    0    0    0    0    1    1    4    4   15    5    7    5   30   19    9
2018-08-11/08:08:18 2018-08-11/08:09:02 2018-08-11/08:08:50     5.52     5.51     0.15    23.72   0.61379    0.005    0.425     1.49    25.64   361   966   253    0    0    0    0    0    0    1    1    3    8    4   15    3    7    5   30   41    8
2018-08-11/08:41:33 2018-08-11/08:42:12 2018-08-11/08:08:50     5.52     5.51     0.15    23.72   0.61379    0.005    0.425     1.49    25.64   361   966   214    0    0    0    0    0    0    1    1    3    8    3   15    3    3    5   30   41    8
2018-08-11/17:34:33 2018-08-11/17:35:17 2018-08-11/17:35:03     6.08     5.85     0.49     1.10   0.98143    0.230    0.612     0.42    26.99   361   321    31    0    0    0    0    0    0    2    1    2    4    2    1    8   31   89   58   14    6
2018-08-11/19:09:42 2018-08-11/19:10:36 2018-08-11/19:10:12     5.84     5.83     1.58     1.59   0.01245    0.002    0.008     1.26    28.50   361   663     0    0    0    0    0    0    0    0    0    0    0    0    0    2    2    4   11    9    3
2018-08-12/00:31:47 2018-08-12/00:32:07 2018-08-12/00:31:58     4.26     3.58    22.68    21.64   1.25813    0.676    1.040    49.72    27.58   328   675     0    0    0    0    0    0    0    0    0    0    0    0    0   58   17    7    9    8    7
