date					  L		 MLT     mnsep	  dL	   dMLT   col	sur	  EMFb   B1b   B2b  7E4	 7E5  7E6  7B4  7B5	7B6  13E7 13E8 13E9 13E10 13E11	13E12 13B7 13B8	13B9 13B10 13B11 13B12
2019-04-07/20:09:36      5.2     17.3    0.540   -0.148    0.375     8    -1   343     0     0    0    0    0    0    0    0    0    0    0    0    0    0   18   20   15    5    4    9
2019-04-08/18:52:42      4.9     14.2    0.294   -0.043    0.224    15    -1   337  3247     7    0    0    0    0    0    0    0    0    0    0    0    0  124  142  151   87   13    3
2019-04-09/02:48:53      3.6     13.2    0.011   -0.004    0.011    73    -1   218  1474    39    0    0    0    0    0    0    0    0    0    0    0    0   80  121  117   70   26   19
2019-04-10/01:59:03      4.5     18.1    0.571   -0.229    0.435    56    -1   290  3631     0    0    0    0    0    0    0    0    0    0    0    0    0   22    8    4    2    8    4
2019-04-10/08:22:19      6.0     15.9    0.257    0.034    0.162    71    -1   420  1892     0    0    0    0    0    0    0    0    0    0    0    0    0   88   96   89   35    4    3
2019-05-05/06:39:26      4.7     13.1    1.129   -0.123    0.900    13    -1   338     0     0    0    0    0    0    0    0    0    0    0    0    0    0   45   64   42   14    3    3
2019-05-11/03:23:40      4.0     12.3    1.394   -0.265    1.263    65    -1   254     0     0    0    0    0    0    0    0    0    0    0    0    0    1  191  142  129  174  264  263
2019-05-11/16:02:09      5.6     15.8    0.209    0.012    0.141    63    -1   360     0     0    0    0    0    0    0    0    0    0    0    1    1    2  117   96   53   19    2    3
2019-05-11/22:19:39      5.2     13.7    0.775   -0.196    0.537    52    -1   361     0     0    0    0    0    0    0    0    0    0    0    0    0    0   17   37   30   74   49   27
2019-05-12/06:17:21      4.6     12.8    1.496   -0.138    1.214    38    -1   242     0     3    0    0    0    0    0    0    0    0    0    0    0    0   36   87   47   13   44   32
2019-05-13/10:45:26      6.0     14.6    0.615   -0.018    0.389    17    -1   421     0     0    0    0    0    0    0    0    0    0    0    0    0    0   13   10   10    2    2    5
2019-05-13/12:20:02      5.8     15.9    0.804    0.094    0.528    38    -1   421     0     0    0    0    0    0    0    0    0    1    1    0    0    0   20   18   10    3    4    8
2019-05-14/13:37:54      5.9     14.9    1.050    0.075    0.683    29    -1   360     0     0    0    0    0    0    0    0    0    0    0    0    0    0   11   24   33   33   11    3
2019-07-07/06:19:52      5.1     15.2    1.083    0.362    0.788     1    -1   325     0     0    0    0    0    0    0    0    0    0    0    0    0    0   21   14    7    6   10   18
2019-09-30/07:36:54      4.4      8.8    0.607   -0.206    0.488    82    -1   278  5247    15    0    0    0    0    0    0    0    0    0    1    1    2   29   50   84  266  176   69
2019-10-02/03:51:29      4.9      9.1    1.075   -0.259    0.793    47    -1   302     0    71    0    0    0    0    0    0    0    0    0    0    0    1   58  104   73  141   85   13
2019-10-03/05:10:29      3.6      7.8    0.843   -0.686    0.476     2    -1   146     0     3    0    0    0    0    0    0    0    0    0    0    0    1    8   28   25   26   26   29
2019-10-03/06:43:57      5.3      9.5    1.067   -0.324    0.715     4    -1   290     0     0    0    0    0    0    0    0    0    0    0    0    0    0   10   13   11    6    6    3
2019-10-03/22:33:32      3.5      7.5    0.762   -0.444    0.638    19    -1  2389     0   221    0    0    0    0    0    0    0    0    0    1    2    3   13   52   89   66   41   59
2019-10-04/08:02:54      4.4      8.6    0.424   -0.157    0.339    36    -1   182     0     0    0    0    0    0    0    0    0    0    0    0    0    0   29   41   37   28   17   16
2019-10-07/05:36:20      3.6      7.7    0.728   -0.399    0.611     5    -1   182  1255    43    0    0    0    0    0    0    0    0    0    0    0    3   33   48   61   41   77  125
2019-10-07/07:09:59      5.3      9.4    0.777   -0.437    0.448     8    -1   361  2383     0    0    0    0    0    0    0    0    0    0    0    0    0   17   39   20    5    6   15
2019-10-08/08:28:51      4.4      8.5    0.292   -0.096    0.238    13    -1   194  2443     0    0    0    0    0    0    0    0    0    0    0    0    0   62   71   44   19   26   55
